year,status,arquivo,observacao
2010,existente,01_DLNMs_RJ_cerebrovascular/data_raw/sim/sim_do_rj_year_2010.rds,
2011,existente,01_DLNMs_RJ_cerebrovascular/data_raw/sim/sim_do_rj_year_2011.rds,
2012,existente,01_DLNMs_RJ_cerebrovascular/data_raw/sim/sim_do_rj_year_2012.rds,
2013,existente,01_DLNMs_RJ_cerebrovascular/data_raw/sim/sim_do_rj_year_2013.rds,
2014,existente,01_DLNMs_RJ_cerebrovascular/data_raw/sim/sim_do_rj_year_2014.rds,
2015,existente,01_DLNMs_RJ_cerebrovascular/data_raw/sim/sim_do_rj_year_2015.rds,
2016,existente,01_DLNMs_RJ_cerebrovascular/data_raw/sim/sim_do_rj_year_2016.rds,
2017,existente,01_DLNMs_RJ_cerebrovascular/data_raw/sim/sim_do_rj_year_2017.rds,
2018,existente,01_DLNMs_RJ_cerebrovascular/data_raw/sim/sim_do_rj_year_2018.rds,
2019,existente,01_DLNMs_RJ_cerebrovascular/data_raw/sim/sim_do_rj_year_2019.rds,
2020,existente,01_DLNMs_RJ_cerebrovascular/data_raw/sim/sim_do_rj_year_2020.rds,
2021,existente,01_DLNMs_RJ_cerebrovascular/data_raw/sim/sim_do_rj_year_2021.rds,
2022,existente,01_DLNMs_RJ_cerebrovascular/data_raw/sim/sim_do_rj_year_2022.rds,
2023,existente,01_DLNMs_RJ_cerebrovascular/data_raw/sim/sim_do_rj_year_2023.rds,
2024,existente,01_DLNMs_RJ_cerebrovascular/data_raw/sim/sim_do_rj_year_2024.rds,
2025,sem_linhas,,microdatasus retornou objeto vazio
