station_code,station_municipality,station_municipality_base,latitude_degrees,longitude_degrees,altitude_m,operation_start_date,ibge6_municipio_referencia,municipio_referencia,macro_regiao,metodo_associacao_macro,distancia_municipio_referencia_km
A628,Angra Dos Reis,Angra Dos Reis,-22.97555554,-44.30333333,6,2017-08-24T00:00:00Z,330010,Angra dos Reis,Baia da Ilha Grande,municipio_informado_inmet_validado_por_lookup; coordenadas_usadas_para_auditoria,0.006006923176532905
A606,Arraial Do Cabo,Arraial Do Cabo,-22.97527777,-42.02138888,5,2006-09-21T00:00:00Z,330025,Arraial do Cabo,Baixada Litoranea,municipio_informado_inmet_validado_por_lookup; coordenadas_usadas_para_auditoria,0.00272141236692019
A604,Cambuci,Cambuci,-21.58749999,-41.95833333,46,2002-11-19T00:00:00Z,330090,Cambuci,Noroeste,municipio_informado_inmet_validado_por_lookup; coordenadas_usadas_para_auditoria,0.0034461721552416294
A607,Campos Dos Goytacazes,Campos Dos Goytacazes,-21.71472222,-41.34388888,17,2006-09-24T00:00:00Z,330100,Campos dos Goytacazes,Norte,municipio_informado_inmet_validado_por_lookup; coordenadas_usadas_para_auditoria,0.0027247465744722095
A620,Campos Dos Goytacazes - Sao Tome,Campos Dos Goytacazes,-22.04166666,-41.05166666,7,2008-06-12T00:00:00Z,330100,Campos dos Goytacazes,Norte,municipio_informado_inmet_validado_por_lookup; coordenadas_usadas_para_auditoria,47.234855780796096
A629,Carmo,Carmo,-21.9386111,-42.60083333,293,2018-10-10T00:00:00Z,330120,Carmo,Serrana,municipio_informado_inmet_validado_por_lookup; coordenadas_usadas_para_auditoria,0.0036526081300256004
A603,Duque De Caxias - Xerem,Duque De Caxias,-22.58972221,-43.28222221,22,2002-10-20T00:00:00Z,330170,Duque de Caxias,Metropolitana I,municipio_informado_inmet_validado_por_lookup; coordenadas_usadas_para_auditoria,0.00336129580997616
A608,Macae,Macae,-22.3761111,-41.81194444,28,2006-09-21T00:00:00Z,330240,Macaé,Norte,municipio_informado_inmet_validado_por_lookup; coordenadas_usadas_para_auditoria,0.004733199002555877
A627,Niteroi,Niteroi,-22.86749999,-43.10194444,6,2018-07-12T00:00:00Z,330330,Niterói,Metropolitana II,municipio_informado_inmet_validado_por_lookup; coordenadas_usadas_para_auditoria,0.004553136419272862
A624,Nova Friburgo - Salinas,Nova Friburgo,-22.33472221,-42.67694443,1070,2010-09-17T00:00:00Z,330340,Nova Friburgo,Serrana,municipio_informado_inmet_validado_por_lookup; coordenadas_usadas_para_auditoria,15.654407646548437
