macro_a,macro_b,serie_identica_temp_ur
Baia da Ilha Grande,Baixada Litoranea,FALSE
Baia da Ilha Grande,Centro-Sul,FALSE
Baia da Ilha Grande,Medio Paraiba,FALSE
Baia da Ilha Grande,Metropolitana I,FALSE
Baia da Ilha Grande,Metropolitana II,FALSE
Baia da Ilha Grande,Noroeste,FALSE
Baia da Ilha Grande,Norte,FALSE
Baia da Ilha Grande,Serrana,FALSE
Baixada Litoranea,Centro-Sul,FALSE
Baixada Litoranea,Medio Paraiba,FALSE
Baixada Litoranea,Metropolitana I,FALSE
Baixada Litoranea,Metropolitana II,FALSE
Baixada Litoranea,Noroeste,FALSE
Baixada Litoranea,Norte,FALSE
Baixada Litoranea,Serrana,FALSE
Centro-Sul,Medio Paraiba,FALSE
Centro-Sul,Metropolitana I,FALSE
Centro-Sul,Metropolitana II,FALSE
Centro-Sul,Noroeste,FALSE
Centro-Sul,Norte,FALSE
Centro-Sul,Serrana,FALSE
Medio Paraiba,Metropolitana I,FALSE
Medio Paraiba,Metropolitana II,FALSE
Medio Paraiba,Noroeste,FALSE
Medio Paraiba,Norte,FALSE
Medio Paraiba,Serrana,FALSE
Metropolitana I,Metropolitana II,FALSE
Metropolitana I,Noroeste,FALSE
Metropolitana I,Norte,FALSE
Metropolitana I,Serrana,FALSE
Metropolitana II,Noroeste,FALSE
Metropolitana II,Norte,FALSE
Metropolitana II,Serrana,FALSE
Noroeste,Norte,FALSE
Noroeste,Serrana,FALSE
Norte,Serrana,FALSE
