ano,macro_regiao,populacao,fonte_populacao,observacao_populacao
2010,Baia da Ilha Grande,248860,Interpolacao linear entre observacoes oficiais SIDRA disponiveis,interpolado_por_falta_de_observacao_sidra_no_ano
2010,Baixada Litoranea,697798,Interpolacao linear entre observacoes oficiais SIDRA disponiveis,interpolado_por_falta_de_observacao_sidra_no_ano
2010,Centro-Sul,321258,Interpolacao linear entre observacoes oficiais SIDRA disponiveis,interpolado_por_falta_de_observacao_sidra_no_ano
2010,Medio Paraiba,860572,Interpolacao linear entre observacoes oficiais SIDRA disponiveis,interpolado_por_falta_de_observacao_sidra_no_ano
2010,Metropolitana I,9929157,Interpolacao linear entre observacoes oficiais SIDRA disponiveis,interpolado_por_falta_de_observacao_sidra_no_ano
2010,Metropolitana II,1957940,Interpolacao linear entre observacoes oficiais SIDRA disponiveis,interpolado_por_falta_de_observacao_sidra_no_ano
2010,Noroeste,331621,Interpolacao linear entre observacoes oficiais SIDRA disponiveis,interpolado_por_falta_de_observacao_sidra_no_ano
2010,Norte,848488,Interpolacao linear entre observacoes oficiais SIDRA disponiveis,interpolado_por_falta_de_observacao_sidra_no_ano
2010,Serrana,916984,Interpolacao linear entre observacoes oficiais SIDRA disponiveis,interpolado_por_falta_de_observacao_sidra_no_ano
2011,Baia da Ilha Grande,248860,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
2011,Baixada Litoranea,697798,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
2011,Centro-Sul,321258,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
2011,Medio Paraiba,860572,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
2011,Metropolitana I,9929157,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
2011,Metropolitana II,1957940,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
2011,Noroeste,331621,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
2011,Norte,848488,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
2011,Serrana,916984,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
2012,Baia da Ilha Grande,254042,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
2012,Baixada Litoranea,715500,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
