ibge7,ibge6,mun_nome,mun_nome_norm,macro_regiao
3300100,330010,Angra dos Reis,ANGRA DOS REIS,Baia da Ilha Grande
3300159,330015,Aperibé,APERIBE,Noroeste
3300209,330020,Araruama,ARARUAMA,Baixada Litoranea
3300225,330022,Areal,AREAL,Centro-Sul
3300233,330023,Armação dos Búzios,ARMACAO DOS BUZIOS,Baixada Litoranea
3300258,330025,Arraial do Cabo,ARRAIAL DO CABO,Baixada Litoranea
3300308,330030,Barra do Piraí,BARRA DO PIRAI,Medio Paraiba
3300407,330040,Barra Mansa,BARRA MANSA,Medio Paraiba
3300456,330045,Belford Roxo,BELFORD ROXO,Metropolitana I
3300506,330050,Bom Jardim,BOM JARDIM,Serrana
3300605,330060,Bom Jesus do Itabapoana,BOM JESUS DO ITABAPOANA,Noroeste
3300704,330070,Cabo Frio,CABO FRIO,Baixada Litoranea
3300803,330080,Cachoeiras de Macacu,CACHOEIRAS DE MACACU,Serrana
3300902,330090,Cambuci,CAMBUCI,Noroeste
3300936,330093,Carapebus,CARAPEBUS,Norte
3300951,330095,Comendador Levy Gasparian,COMENDADOR LEVY GASPARIAN,Centro-Sul
3301009,330100,Campos dos Goytacazes,CAMPOS DOS GOYTACAZES,Norte
3301108,330110,Cantagalo,CANTAGALO,Serrana
3301157,330115,Cardoso Moreira,CARDOSO MOREIRA,Noroeste
3301207,330120,Carmo,CARMO,Serrana
3301306,330130,Casimiro de Abreu,CASIMIRO DE ABREU,Baixada Litoranea
3301405,330140,Conceição de Macabu,CONCEICAO DE MACABU,Norte
3301504,330150,Cordeiro,CORDEIRO,Serrana
3301603,330160,Duas Barras,DUAS BARRAS,Serrana
3301702,330170,Duque de Caxias,DUQUE DE CAXIAS,Metropolitana I
3301801,330180,Engenheiro Paulo de Frontin,ENGENHEIRO PAULO DE FRONTIN,Centro-Sul
3301850,330185,Guapimirim,GUAPIMIRIM,Serrana
3301876,330187,Iguaba Grande,IGUABA GRANDE,Baixada Litoranea
3301900,330190,Itaboraí,ITABORAI,Metropolitana II
3302007,330200,Itaguaí,ITAGUAI,Metropolitana I
3302056,330205,Italva,ITALVA,Noroeste
