Macroregiao;Ano;PM25;N_Municipios;Fonte
Baixada Litorânea;2010;12.1766;9;Monitorado, Vizinho mais proximo (Araruama, 0.107 deg), Vizinho mais proximo (Macaé, 0.220 deg), Vizinho mais proximo (São Pedro da Aldeia, 0.087 deg)
Baixada Litorânea;2011;9.4805;9;Monitorado, Vizinho mais proximo (Araruama, 0.107 deg), Vizinho mais proximo (Macaé, 0.220 deg), Vizinho mais proximo (São Pedro da Aldeia, 0.087 deg)
Baixada Litorânea;2012;9.8198;9;Monitorado, Vizinho mais proximo (Araruama, 0.107 deg), Vizinho mais proximo (Macaé, 0.220 deg), Vizinho mais proximo (São Pedro da Aldeia, 0.087 deg)
Baixada Litorânea;2013;8.7157;9;Monitorado, Vizinho mais proximo (Araruama, 0.107 deg), Vizinho mais proximo (Macaé, 0.220 deg), Vizinho mais proximo (São Pedro da Aldeia, 0.087 deg)
Baixada Litorânea;2014;9.8411;9;Monitorado, Vizinho mais proximo (Araruama, 0.107 deg), Vizinho mais proximo (Macaé, 0.220 deg), Vizinho mais proximo (São Pedro da Aldeia, 0.087 deg)
Baixada Litorânea;2015;10.6061;9;Monitorado, Vizinho mais proximo (Araruama, 0.107 deg), Vizinho mais proximo (Macaé, 0.220 deg), Vizinho mais proximo (São Pedro da Aldeia, 0.087 deg)
Baixada Litorânea;2016;10.3651;9;Monitorado, Vizinho mais proximo (Araruama, 0.107 deg), Vizinho mais proximo (Macaé, 0.220 deg), Vizinho mais proximo (São Pedro da Aldeia, 0.087 deg)
Baixada Litorânea;2017;10.0715;9;Monitorado, Vizinho mais proximo (Araruama, 0.107 deg), Vizinho mais proximo (Macaé, 0.220 deg), Vizinho mais proximo (São Pedro da Aldeia, 0.087 deg)
Baixada Litorânea;2018;9.5812;9;Monitorado, Vizinho mais proximo (Araruama, 0.107 deg), Vizinho mais proximo (Macaé, 0.220 deg), Vizinho mais proximo (São Pedro da Aldeia, 0.087 deg)
Baixada Litorânea;2019;10.4677;9;Monitorado, Vizinho mais proximo (Araruama, 0.107 deg), Vizinho mais proximo (Macaé, 0.220 deg), Vizinho mais proximo (São Pedro da Aldeia, 0.087 deg)
Baixada Litorânea;2020;10.6882;9;Monitorado, Vizinho mais proximo (Araruama, 0.107 deg), Vizinho mais proximo (Macaé, 0.220 deg), Vizinho mais proximo (São Pedro da Aldeia, 0.087 deg)
