Macroregiao;Ano;Mes;PM25;N_Municipios
Baixada Litorânea;2010;1;7.7918;9
Baixada Litorânea;2010;2;8.2949;9
Baixada Litorânea;2010;3;8.5993;9
Baixada Litorânea;2010;4;8.5009;9
Baixada Litorânea;2010;5;8.3558;9
Baixada Litorânea;2010;6;9.3661;9
Baixada Litorânea;2010;7;10.1471;9
Baixada Litorânea;2010;8;18.9609;9
Baixada Litorânea;2010;9;31.4889;9
Baixada Litorânea;2010;10;15.6501;9
Baixada Litorânea;2010;11;9.9191;9
Baixada Litorânea;2010;12;9.0441;9
Baixada Litorânea;2011;1;6.0666;9
Baixada Litorânea;2011;2;6.4583;9
Baixada Litorânea;2011;3;6.6953;9
Baixada Litorânea;2011;4;6.6187;9
Baixada Litorânea;2011;5;6.5057;9
Baixada Litorânea;2011;6;7.2923;9
Baixada Litorânea;2011;7;7.9003;9
Baixada Litorânea;2011;8;14.7627;9
Baixada Litorânea;2011;9;24.5168;9
Baixada Litorânea;2011;10;12.1849;9
Baixada Litorânea;2011;11;7.7229;9
Baixada Litorânea;2011;12;7.0416;9
Baixada Litorânea;2012;1;6.2837;9
Baixada Litorânea;2012;2;6.6894;9
Baixada Litorânea;2012;3;6.9349;9
Baixada Litorânea;2012;4;6.8555;9
Baixada Litorânea;2012;5;6.7385;9
Baixada Litorânea;2012;6;7.5533;9
Baixada Litorânea;2012;7;8.183;9
Baixada Litorânea;2012;8;15.2909;9
Baixada Litorânea;2012;9;25.3941;9
Baixada Litorânea;2012;10;12.6209;9
Baixada Litorânea;2012;11;7.9992;9
Baixada Litorânea;2012;12;7.2936;9
Baixada Litorânea;2013;1;5.5772;9
Baixada Litorânea;2013;2;5.9373;9
Baixada Litorânea;2013;3;6.1552;9
Baixada Litorânea;2013;4;6.0847;9
Baixada Litorânea;2013;5;5.9809;9
Baixada Litorânea;2013;6;6.704;9
Baixada Litorânea;2013;7;7.263;9
Baixada Litorânea;2013;8;13.5717;9
Baixada Litorânea;2013;9;22.5389;9
Baixada Litorânea;2013;10;11.2019;9
Baixada Litorânea;2013;11;7.0998;9
Baixada Litorânea;2013;12;6.4736;9
Baixada Litorânea;2014;1;6.2973;9
Baixada Litorânea;2014;2;6.7039;9
Baixada Litorânea;2014;3;6.9499;9
Baixada Litorânea;2014;4;6.8704;9
Baixada Litorânea;2014;5;6.7531;9
Baixada Litorânea;2014;6;7.5697;9
Baixada Litorânea;2014;7;8.2008;9
Baixada Litorânea;2014;8;15.3241;9
Baixada Litorânea;2014;9;25.4492;9
Baixada Litorânea;2014;10;12.6483;9
Baixada Litorânea;2014;11;8.0166;9
Baixada Litorânea;2014;12;7.3094;9
Baixada Litorânea;2015;1;6.7868;9
Baixada Litorânea;2015;2;7.2251;9
Baixada Litorânea;2015;3;7.4902;9
