Municipio;Macroregiao;Ano;Mes;PM25;Fonte;Metodo
Paraty;Baía da Ilha Grande;2010;1;11.5504;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2010;2;12.2962;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2010;3;12.7474;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2010;4;12.6015;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2010;5;12.3865;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2010;6;13.8841;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2010;7;15.0417;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2010;8;28.1071;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2010;9;46.6784;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2010;10;23.1993;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2010;11;14.7038;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2010;12;13.4068;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2011;1;8.993;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2011;2;9.5736;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2011;3;9.9249;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2011;4;9.8114;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2011;5;9.6439;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2011;6;10.8099;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2011;7;11.7113;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2011;8;21.8838;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2011;9;36.3431;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2011;10;18.0626;Monitorado;Observado + sazonal (perfil nacional 2024)
Paraty;Baía da Ilha Grande;2011;11;11.4482;Monitorado;Observado + sazonal (perfil nacional 2024)
