station_municipality,uf,situation_operation,latitude_degrees,longitude_degrees,altitude_m,operation_start_date,station_code
Angra Dos Reis,RJ,breakdown,-22.97555554,-44.30333333,6,2017-08-24T00:00:00Z,A628
Arraial Do Cabo,RJ,operating,-22.97527777,-42.02138888,5,2006-09-21T00:00:00Z,A606
Cambuci,RJ,operating,-21.58749999,-41.95833333,46,2002-11-19T00:00:00Z,A604
Campos Dos Goytacazes,RJ,operating,-21.71472222,-41.34388888,17,2006-09-24T00:00:00Z,A607
Campos Dos Goytacazes - Sao Tome,RJ,operating,-22.04166666,-41.05166666,7,2008-06-12T00:00:00Z,A620
Carmo,RJ,breakdown,-21.9386111,-42.60083333,293,2018-10-10T00:00:00Z,A629
Duque De Caxias - Xerem,RJ,breakdown,-22.58972221,-43.28222221,22,2002-10-20T00:00:00Z,A603
Macae,RJ,operating,-22.3761111,-41.81194444,28,2006-09-21T00:00:00Z,A608
Niteroi,RJ,operating,-22.86749999,-43.10194444,6,2018-07-12T00:00:00Z,A627
Nova Friburgo - Salinas,RJ,operating,-22.33472221,-42.67694443,1070,2010-09-17T00:00:00Z,A624
Paraty,RJ,operating,-23.2236111,-44.72694443,3,2006-11-18T00:00:00Z,A619
Pico Do Couto,RJ,operating,-22.46472222,-43.29138888,1777,2006-10-21T00:00:00Z,A610
Paty Do Alferes - Avelar,RJ,operating,-22.34722221,-43.41777777,508,2022-11-09T00:00:00Z,A637
Resende,RJ,operating,-22.45138888,-44.44499999,438.83,2006-09-28T00:00:00Z,A609
Rio Claro,RJ,operating,-22.653579,-44.040916,516,2016-06-02T00:00:00Z,A626
Rio De Janeiro - Forte De Copacabana,RJ,operating,-22.98833333,-43.19055555,25.59,2007-05-17T00:00:00Z,A652
Rio De Janeiro - Jacarepagua,RJ,operating,-22.93999999,-43.40277777,20,2017-08-09T00:00:00Z,A636
Rio De Janeiro - Vila Militar,RJ,operating,-22.86138888,-43.41138888,30.43,2007-04-12T00:00:00Z,A621
Rio De Janeiro-Marambaia,RJ,operating,-23.05027777,-43.59555555,12,2002-11-07T00:00:00Z,A602
Santa Maria Madalena,RJ,breakdown,-21.95055555,-42.01027777,586,2018-10-15T00:00:00Z,A630
Saquarema - Sampaio Correia,RJ,breakdown,-22.8711111,-42.60888888,26,2015-09-01T00:00:00Z,A667
Seropedica-Ecologia Agricola,RJ,operating,-22.75777777,-43.68472221,35,2000-05-23T00:00:00Z,A601
Silva Jardim,RJ,operating,-22.64583333,-42.41555555,19,2015-08-27T00:00:00Z,A659
Teresopolis-Parque Nacional,RJ,operating,-22.4486111,-42.98694444,981,2006-10-31T00:00:00Z,A618
Tres Rios,RJ,operating,-22.09833333,-43.20833333,295,2016-06-07T00:00:00Z,A625
Valenca,RJ,breakdown,-22.35805555,-43.69555555,370,2006-09-26T00:00:00Z,A611
