ibge7,ibge6,mun_nome,ano,populacao,fonte_populacao,observacao_populacao
3300100,330010,Angra dos Reis,2017,194619,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3300100,330010,Angra dos Reis,2018,200407,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3300100,330010,Angra dos Reis,2019,203785,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3300100,330010,Angra dos Reis,2020,207044,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3300100,330010,Angra dos Reis,2021,210171,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3300100,330010,Angra dos Reis,2022,167434,"SIDRA 4714 v93 - Censo Demografico 2022, Populacao residente",censo_2022_oficial_sidra
3300100,330010,Angra dos Reis,2024,179120,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3300100,330010,Angra dos Reis,2025,179142,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3300159,330015,Aperibé,2017,11292,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3300159,330015,Aperibé,2018,11612,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3300159,330015,Aperibé,2019,11759,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3300159,330015,Aperibé,2020,11901,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3300159,330015,Aperibé,2021,12036,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3300159,330015,Aperibé,2022,11034,"SIDRA 4714 v93 - Censo Demografico 2022, Populacao residente",censo_2022_oficial_sidra
3300159,330015,Aperibé,2024,11420,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3300159,330015,Aperibé,2025,11426,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3300209,330020,Araruama,2017,126742,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3300209,330020,Araruama,2018,130439,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3300209,330020,Araruama,2019,132400,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3300209,330020,Araruama,2020,134293,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3300209,330020,Araruama,2021,136109,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3300209,330020,Araruama,2022,129671,"SIDRA 4714 v93 - Censo Demografico 2022, Populacao residente",censo_2022_oficial_sidra
3300209,330020,Araruama,2024,137773,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3300209,330020,Araruama,2025,137906,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3300225,330022,Areal,2017,12143,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3300225,330022,Areal,2018,12471,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3300225,330022,Areal,2019,12572,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3300225,330022,Areal,2020,12669,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
