ibge7,ibge6,mun_nome,ano,populacao,fonte_populacao,observacao_populacao
3300100,330010,Angra dos Reis,2011,173370,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3300100,330010,Angra dos Reis,2012,177101,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3300100,330010,Angra dos Reis,2013,181486,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3300100,330010,Angra dos Reis,2014,184940,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3300100,330010,Angra dos Reis,2015,188276,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3300100,330010,Angra dos Reis,2016,191504,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3300100,330010,Angra dos Reis,2017,194619,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3300100,330010,Angra dos Reis,2018,200407,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3300100,330010,Angra dos Reis,2019,203785,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3300100,330010,Angra dos Reis,2020,207044,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3300100,330010,Angra dos Reis,2021,210171,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3300100,330010,Angra dos Reis,2022,167434,"SIDRA 4714 v93 - Censo Demografico 2022, Populacao residente",censo_2022_oficial_sidra
3300100,330010,Angra dos Reis,2024,179120,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3300100,330010,Angra dos Reis,2025,179142,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3300159,330015,Aperibé,2011,10382,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3300159,330015,Aperibé,2012,10545,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3300159,330015,Aperibé,2013,10736,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3300159,330015,Aperibé,2014,10882,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3300159,330015,Aperibé,2015,11023,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3300159,330015,Aperibé,2016,11160,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3300159,330015,Aperibé,2017,11292,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3300159,330015,Aperibé,2018,11612,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3300159,330015,Aperibé,2019,11759,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3300159,330015,Aperibé,2020,11901,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3300159,330015,Aperibé,2021,12036,SIDRA 6579 v9324 - Populacao residente estimada,estimativa_oficial_sidra
3300159,330015,Aperibé,2022,11034,"SIDRA 4714 v93 - Censo Demografico 2022, Populacao residente",censo_2022_oficial_sidra
