macro_regiao,desfecho,exposicao,n_lags,auc_min,auc_max,auc_amplitude,rr_max_min,rr_max_max,rr_max_amplitude,p_curva_min,p_consistente_005,interpretacao
Baia da Ilha Grande,internacoes_i60_i69,temp_med,3,3.1688710498019903,3.3325814562287297,0.1637104064267394,1.5182459964553099,1.5890143511965094,0.07076835474119947,7.305707313733158e-4,TRUE,Associacao estavel nos tras lags avaliados.
Metropolitana I,obitos_i60_i69,temp_med,3,0.9749015549047807,1.3477556335680259,0.37285407866324516,1.274361741402303,1.3934808101947271,0.11911906879242418,1.7404944978603026e-9,TRUE,Associacao estavel nos tras lags avaliados.
Metropolitana II,obitos_i60_i64,temp_med,3,0.6086851000588287,1.0037207764610048,0.3950356764021761,1.074152658099543,1.2164812490985402,0.14232859099899708,0.2520006912936583,FALSE,"Direcao da associaaao preservada, mas significancia varia conforme o lag."
Baia da Ilha Grande,internacoes_i60_i64,temp_med,3,3.283958280413133,3.7090728796597228,0.4251145992465899,1.579703395835881,1.789739502385636,0.2100361065497549,7.44654933087014e-4,TRUE,Associacao estavel nos tras lags avaliados.
Metropolitana I,obitos_i60_i64,temp_med,3,0.7259599464578693,1.1675216458911395,0.44156169943327017,1.233322932501685,1.3000109100254824,0.0666879775237974,1.4649647846161878e-6,TRUE,Associacao estavel nos tras lags avaliados.
Serrana,obitos_i60_i69,temp_med,3,1.302097870965311,1.757424859058941,0.4553269880936299,1.2374865704159264,1.4850081020161316,0.2475215316002053,0.045619517009359324,FALSE,"Direcao da associaaao preservada, mas significancia varia conforme o lag."
Baixada Litoranea,internacoes_i60_i69,temp_med,3,0.8287029136166116,1.3048028669953593,0.47609995337874766,1.2820116175859233,1.4534389592819557,0.17142734169603235,0.029131711019340076,FALSE,"Direcao da associaaao preservada, mas significancia varia conforme o lag."
Metropolitana I,internacoes_i60_i64,temp_med,3,1.1535926973954478,1.7434856546911324,0.5898929572956846,1.283855169866983,1.3451239131299846,0.06126874326300169,1.1276402758596098e-6,TRUE,Associacao estavel nos tras lags avaliados.
Baixada Litoranea,internacoes_i60_i64,temp_med,3,0.7066899227146266,1.3263460158757556,0.619656093161129,1.3258594056352488,1.5069870922629902,0.18112768662774137,0.01624165849443408,FALSE,"Direcao da associaaao preservada, mas significancia varia conforme o lag."
Metropolitana II,internacoes_i60_i64,ur_med,3,2.3880997671403725,3.1567706227876187,0.7686708556472461,1.1475292140561948,1.2132180946439615,0.06568888058776667,0.004583735601076295,FALSE,"Direcao da associaaao preservada, mas significancia varia conforme o lag."
Norte,obitos_i60_i69,temp_med,3,1.4918111595205756,2.335999757667706,0.8441885981471304,1.2660502073525857,1.6575526865699386,0.39150247921735293,0.002321878975403191,TRUE,Associacao estavel nos tras lags avaliados.
Medio Paraiba,internacoes_i60_i69,temp_med,3,2.3782244933486885,3.395753602037935,1.0175291086892466,1.3573315936429877,1.4092152906062172,0.051883696963229475,0.006145058243724008,TRUE,Associacao estavel nos tras lags avaliados.
Metropolitana II,obitos_i60_i69,temp_med,3,0.501195902651665,1.5359002873841034,1.0347043847324384,1.0726104941871821,1.1671890078114227,0.09457851362424052,0.2718436594280191,FALSE,"Direcao da associaaao preservada, mas significancia varia conforme o lag."
