desfecho,macro_regiao,sexo_padronizado,faixa_etaria,cid_grupo,eventos
internacoes,Baia da Ilha Grande,Masculino,65-79,I64 AVC nao especificado,879
internacoes,Baia da Ilha Grande,Masculino,50-64,I64 AVC nao especificado,669
internacoes,Baia da Ilha Grande,Feminino,65-79,I64 AVC nao especificado,614
internacoes,Baia da Ilha Grande,Feminino,50-64,I64 AVC nao especificado,434
internacoes,Baia da Ilha Grande,Feminino,80+,I64 AVC nao especificado,332
internacoes,Baia da Ilha Grande,Masculino,80+,I64 AVC nao especificado,255
internacoes,Baia da Ilha Grande,Masculino,0-49,I64 AVC nao especificado,222
internacoes,Baia da Ilha Grande,Feminino,0-49,I64 AVC nao especificado,203
internacoes,Baia da Ilha Grande,Masculino,0-49,I60-I62 hemorragicas,136
internacoes,Baia da Ilha Grande,Masculino,50-64,I60-I62 hemorragicas,122
internacoes,Baia da Ilha Grande,Feminino,50-64,I60-I62 hemorragicas,112
internacoes,Baia da Ilha Grande,Feminino,0-49,I60-I62 hemorragicas,95
internacoes,Baia da Ilha Grande,Masculino,65-79,I63 isquemico,86
internacoes,Baia da Ilha Grande,Masculino,65-79,I60-I62 hemorragicas,83
internacoes,Baia da Ilha Grande,Feminino,65-79,I60-I62 hemorragicas,79
internacoes,Baia da Ilha Grande,Masculino,65-79,I65-I69 outras/sequelas,75
internacoes,Baia da Ilha Grande,Masculino,50-64,I63 isquemico,59
internacoes,Baia da Ilha Grande,Feminino,65-79,I63 isquemico,58
internacoes,Baia da Ilha Grande,Feminino,50-64,I63 isquemico,50
internacoes,Baia da Ilha Grande,Feminino,50-64,I65-I69 outras/sequelas,44
internacoes,Baia da Ilha Grande,Feminino,65-79,I65-I69 outras/sequelas,42
internacoes,Baia da Ilha Grande,Masculino,50-64,I65-I69 outras/sequelas,34
internacoes,Baia da Ilha Grande,Feminino,80+,I60-I62 hemorragicas,30
internacoes,Baia da Ilha Grande,Masculino,80+,I60-I62 hemorragicas,30
internacoes,Baia da Ilha Grande,Feminino,0-49,I63 isquemico,28
internacoes,Baia da Ilha Grande,Feminino,0-49,I65-I69 outras/sequelas,22
internacoes,Baia da Ilha Grande,Masculino,80+,I63 isquemico,22
internacoes,Baia da Ilha Grande,Feminino,80+,I65-I69 outras/sequelas,21
internacoes,Baia da Ilha Grande,Masculino,0-49,I63 isquemico,20
internacoes,Baia da Ilha Grande,Masculino,0-49,I65-I69 outras/sequelas,18
internacoes,Baia da Ilha Grande,Masculino,80+,I65-I69 outras/sequelas,18
internacoes,Baia da Ilha Grande,Feminino,80+,I63 isquemico,14
internacoes,Baixada Litoranea,Masculino,65-79,I64 AVC nao especificado,1469
internacoes,Baixada Litoranea,Feminino,65-79,I64 AVC nao especificado,1256
internacoes,Baixada Litoranea,Masculino,50-64,I64 AVC nao especificado,1225
