mes_num,mes,media_internacoes,mediana_internacoes,p25,p75
1,janeiro,1819.625,1600,1435.5,1925.25
2,fevereiro,1302.875,1285,1183.25,1403.25
3,março,1406.25,1348.5,1222.5,1507
4,abril,1420.1875,1342.5,1197.5,1704
5,maio,1532.1875,1453.5,1284,1726.25
6,junho,1519.5625,1456.5,1393,1676.75
7,julho,1698.5,1660.5,1415,2006.75
8,agosto,1560.6875,1584.5,1318,1772.5
9,setembro,1481.625,1397.5,1272,1655.5
10,outubro,1519.25,1536,1318.25,1677.75
11,novembro,1396.3125,1337,1158.75,1590
12,dezembro,1367.625,1337.5,1122.5,1703.75
