macro_regiao,desfecho,exposicao,familia,dispersao,alerta_convergencia,avisos_modelo,p_associacao,metodo_p,df_exp,df_lag,lag_max,cen,cen_mmt,cen_percentil_mmt,percentil,valor,rr_cumulativo,ic95_inf,ic95_sup,modelo_id,theta_hat,se_theta,rr_bayes,cri95_inf_bayes,cri95_sup_bayes,prob_rr_maior_1_10,prior_especificacao
Baia da Ilha Grande,internacoes_i60_i69,temp_med,quasipoisson,1.0438292976113783,FALSE,,0.1807568157808315,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.06557,4,3,14,26.25755511603375,26.25755511603375,85.2,P05,17.368794791666666,1.5822561554765815,1.043693343308269,2.3987261752651423,baia_da_ilha_grande_internacoes_i60_i69_temp_med,0.45885177499693586,0.2122927076363119,1.3576827758638657,1.1302593944806818,1.6308667982577139,0.9923694556921235,sceptical
Baixada Litoranea,internacoes_i60_i69,temp_med,quasipoisson,1.030528539487494,FALSE,,0.4359036064858249,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.2071,4,3,14,25.31553831595929,25.31553831595929,77.3,P05,18.2428993872549,1.3314053700921822,1.0297706471176522,1.7213932679786077,baixada_litoranea_internacoes_i60_i69_temp_med,0.28623505359392415,0.13107330077252508,1.3323656969931152,1.1488853491023765,1.5451483926667804,0.9915458528692674,sceptical
Centro-Sul,internacoes_i60_i69,temp_med,quasipoisson,1.4639000060028793,FALSE,,0.7795099960124434,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.6351,4,3,14,23.870972046413492,23.870972046413492,75.9,P05,8.934241666666667,1.243438105099023,0.8280529132229477,1.86719749006663,centro_sul_internacoes_i60_i69_temp_med,0.21788020827303953,0.20743158203925882,1.323783551096005,1.1147217773856364,1.5720540548353423,0.9753442394802031,sceptical
Medio Paraiba,internacoes_i60_i69,temp_med,negative_binomial,5.853062361993612,FALSE,,2.601818923642085e-7,Negative binomial likelihood-ratio test: modelo completo vs. modelo sem crossbasis | NW-HAC(lag=21): p=0.1721,4,3,14,27.622020833333337,27.622020833333337,99,P05,15.312019791666666,1.1363771616094325,0.8175889771037377,1.5794648528678237,medio_paraiba_internacoes_i60_i69_temp_med,0.12784527365535467,0.16798309453230809,1.3038812600155616,1.1009644239029415,1.544197344899535,0.9619969899923838,sceptical
Metropolitana I,internacoes_i60_i69,temp_med,quasipoisson,18.725424728764455,FALSE,Binomial negativa rejeitada por instabilidade numerica; mantido Quasi-Poisson.,1.927932055485767e-4,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.02832,4,3,14,24.145266275648616,24.145266275648616,57.7,P05,17.971012650417215,1.1301024053137476,0.8462834471107425,1.5091060221680024,metropolitana_i_internacoes_i60_i69_temp_med,0.12230825278958511,0.1475584177542448,1.2977739627131668,1.09926609984629,1.53212880714846,0.9595078075547888,sceptical
Metropolitana II,internacoes_i60_i69,temp_med,quasipoisson,1.4090057026037894,FALSE,,0.00964802692479001,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.001652,4,3,14,29.649958333333323,29.649958333333323,99,P05,12.797116666666666,1.0804337473542225,0.8129994917945293,1.4358398673106565,metropolitana_ii_internacoes_i60_i69_temp_med,0.07736257842981438,0.1450982646653345,1.2875094666362912,1.0823427281994298,1.531567204628206,0.9456263175847464,sceptical
Noroeste,internacoes_i60_i69,temp_med,quasipoisson,2.673643577108682,FALSE,,0.00203323376045826,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.0237,4,3,14,30.226749999999996,30.226749999999996,99,P05,17.333983333333336,2.044792507754181,1.202541128334793,3.4769508512008027,noroeste_internacoes_i60_i69_temp_med,0.7152963211461368,0.2708516077658467,1.3771310252733573,1.1111069603778414,1.7068472508943069,0.9946103941645804,sceptical
Norte,internacoes_i60_i69,temp_med,quasipoisson,1.9259157956556736,FALSE,,1.1524466216771663e-20,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.1581,4,3,14,28.554361111111103,28.554361111111103,99,P05,19.022707638888892,1.861615161826513,1.2105432932431384,2.8628559012191266,norte_internacoes_i60_i69_temp_med,0.6214444774863761,0.2195832267142313,1.3787689137022472,1.123067011050245,1.692689482183201,0.9962810716206371,sceptical
Serrana,internacoes_i60_i69,temp_med,negative_binomial,16.57475386704071,FALSE,,6.661338147750939e-16,Negative binomial likelihood-ratio test: modelo completo vs. modelo sem crossbasis | NW-HAC(lag=21): p=0.03687,4,3,14,17.992514240506328,17.992514240506328,51.9,P05,10.864852916666663,1.60446071159857,1.1777670969121727,2.185741291136916,serrana_internacoes_i60_i69_temp_med,0.47278769488503647,0.15774133720951175,1.3706536569723726,1.147566051816681,1.6371096412251238,0.9975442717908848,sceptical
Baia da Ilha Grande,internacoes_i60_i69,temp_med,quasipoisson,1.0438292976113783,FALSE,,0.1807568157808315,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.06557,4,3,14,26.25755511603375,26.25755511603375,85.2,P95,28.849101041666664,1.1006181853566694,0.8503605991439067,1.42452553793924,baia_da_ilha_grande_internacoes_i60_i69_temp_med_2,0.09587200863682648,0.13161812964135278,1.0838305005349973,1.001783927308119,1.1725967265680068,0.2906327654733775,sceptical
