modelo_id,status_sem_pandemia,macro_regiao_sem_pandemia,desfecho_sem_pandemia,exposicao_sem_pandemia,p_associacao_sem_pandemia,metodo_p_sem_pandemia,p_curva_auc_sem_pandemia,metodo_p_curva_auc_sem_pandemia,alerta_convergencia_sem_pandemia,avisos_modelo_sem_pandemia,cen_sem_pandemia,cen_mmt_sem_pandemia,cen_percentil_mmt_sem_pandemia,auc_rr_cumulativo_sem_pandemia,auc_excesso_rr_cumulativo_sem_pandemia,auc_protecao_rr_cumulativo_sem_pandemia,rr_cumulativo_max_sem_pandemia,exposicao_rr_max_sem_pandemia
baia_da_ilha_grande_internacoes_i60_i69_temp_med,ok,Baia da Ilha Grande,internacoes_i60_i69,temp_med,0.21823351093571627,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.07921,0.00712042217450961,Menor p ponto-a-ponto da curva cumulativa usada para calcular a AUC,FALSE,,25.632052742616036,25.632052742616036,79.4,16.552811438319026,3.816103104985688,0,1.7409332940680662,17.732069092827004
baia_da_ilha_grande_internacoes_i60_i69_ur_med,ok,Baia da Ilha Grande,internacoes_i60_i69,ur_med,0.43340716865190226,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.04023,0.039318852384248655,Menor p ponto-a-ponto da curva cumulativa usada para calcular a AUC,FALSE,,72.81710443037974,72.81710443037974,9.3,37.354119539158035,6.364327872491369,0,1.8514568670788782,94
baia_da_ilha_grande_obitos_i60_i69_temp_med,ok,Baia da Ilha Grande,obitos_i60_i69,temp_med,0.46433273226742594,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.2108,0.13684420742925302,Menor p ponto-a-ponto da curva cumulativa usada para calcular a AUC,FALSE,,22.891242088607598,22.891242088607598,49.9,16.164948775193476,3.4282404418601398,0,1.4993911504922781,29.17898417721519
baia_da_ilha_grande_obitos_i60_i69_ur_med,ok,Baia da Ilha Grande,obitos_i60_i69,ur_med,0.2858463772571821,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.0849,0.014669972836068457,Menor p ponto-a-ponto da curva cumulativa usada para calcular a AUC,FALSE,,63.01020833333333,63.01020833333333,1,60.585387751685765,29.5955960850191,0,2.4082112515568697,73.60165611814345
baia_da_ilha_grande_internacoes_i60_i64_temp_med,ok,Baia da Ilha Grande,internacoes_i60_i64,temp_med,0.19156063494999415,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.06804,0.005649496979515334,Menor p ponto-a-ponto da curva cumulativa usada para calcular a AUC,FALSE,,25.793276898734177,25.793276898734177,81.1,16.938408190274643,4.201699856941306,0,1.9221206661307797,16.6035
baia_da_ilha_grande_internacoes_i60_i64_ur_med,ok,Baia da Ilha Grande,internacoes_i60_i64,ur_med,0.4416850582044663,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.04172,0.0286539765247526,Menor p ponto-a-ponto da curva cumulativa usada para calcular a AUC,FALSE,,73.2093802742616,73.2093802742616,10.1,37.51249726681785,6.522705600151182,0,1.932713422727791,94
baia_da_ilha_grande_obitos_i60_i64_temp_med,ok,Baia da Ilha Grande,obitos_i60_i64,temp_med,0.8320899427426658,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.6063,0.37354733055592976,Menor p ponto-a-ponto da curva cumulativa usada para calcular a AUC,FALSE,,23.374914556962025,23.374914556962025,54.8,15.094591950158192,2.357883616824856,0,1.3759616658595188,19.021862341772152
baia_da_ilha_grande_obitos_i60_i64_ur_med,ok,Baia da Ilha Grande,obitos_i60_i64,ur_med,0.20127347178044103,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.02569,0.02356504305873158,Menor p ponto-a-ponto da curva cumulativa usada para calcular a AUC,FALSE,,63.01020833333333,63.01020833333333,1,69.12574515345605,38.135953486789376,0,2.91946420913862,73.60165611814345
baixada_litoranea_internacoes_i60_i69_temp_med,ok,Baixada Litoranea,internacoes_i60_i69,temp_med,0.4738562726277788,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.3142,0.027337168094903146,Menor p ponto-a-ponto da curva cumulativa usada para calcular a AUC,FALSE,,25.647925105485236,25.647925105485236,80.2,10.57162904435344,1.095129044353435,0,1.5604297034837484,18.45058333333333
baixada_litoranea_internacoes_i60_i69_ur_med,ok,Baixada Litoranea,internacoes_i60_i69,ur_med,0.09153925300392271,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.02172,0.024882270137027776,Menor p ponto-a-ponto da curva cumulativa usada para calcular a AUC,FALSE,,84.45129746835443,84.45129746835443,75.5,38.74443778031604,5.625271113649359,0,1.3818718763861118,59.29749999999999
baixada_litoranea_obitos_i60_i69_temp_med,ok,Baixada Litoranea,obitos_i60_i69,temp_med,0.4153946026735837,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.2563,0.018767849842619436,Menor p ponto-a-ponto da curva cumulativa usada para calcular a AUC,FALSE,,23.848589662447257,23.848589662447257,56.4,11.248029453062543,1.7715294530625383,0,1.5245923126335523,18.45058333333333
baixada_litoranea_obitos_i60_i69_ur_med,ok,Baixada Litoranea,obitos_i60_i69,ur_med,0.09135521274075037,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.02625,0.0024616423180228685,Menor p ponto-a-ponto da curva cumulativa usada para calcular a AUC,FALSE,,83.61283755274262,83.61283755274262,70.3,43.87315125779566,10.753984591128987,0,1.7173843770173502,59.29749999999999
baixada_litoranea_internacoes_i60_i64_temp_med,ok,Baixada Litoranea,internacoes_i60_i64,temp_med,0.26290323519627545,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.1288,0.012760632814160764,Menor p ponto-a-ponto da curva cumulativa usada para calcular a AUC,FALSE,,25.767880801687767,25.767880801687767,81.7,10.745181043906818,1.268681043906813,0,1.6841537749720548,18.45058333333333
baixada_litoranea_internacoes_i60_i64_ur_med,ok,Baixada Litoranea,internacoes_i60_i64,ur_med,0.16795022173032012,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.04927,0.037541456926438545,Menor p ponto-a-ponto da curva cumulativa usada para calcular a AUC,FALSE,,84.45129746835443,84.45129746835443,75.5,39.22734492046276,6.108178253796085,0,1.4577285248576277,92.41666666666667
baixada_litoranea_obitos_i60_i64_temp_med,ok,Baixada Litoranea,obitos_i60_i64,temp_med,0.4582131626922518,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.3227,0.07523533036159173,Menor p ponto-a-ponto da curva cumulativa usada para calcular a AUC,FALSE,,23.728633966244725,23.728633966244725,54.7,11.227907010892961,1.751407010892956,0,1.4398917865617675,19.650140295358646
baixada_litoranea_obitos_i60_i64_ur_med,ok,Baixada Litoranea,obitos_i60_i64,ur_med,0.13221246923198007,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.03321,0.003699949815413753,Menor p ponto-a-ponto da curva cumulativa usada para calcular a AUC,FALSE,,83.61283755274262,83.61283755274262,70.3,47.75534865173359,14.636181985066912,0,2.253675070023109,92.41666666666667
centro_sul_internacoes_i60_i69_temp_med,ok,Centro-Sul,internacoes_i60_i69,temp_med,0.6668453865202943,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.3288,0.03151010595658813,Menor p ponto-a-ponto da curva cumulativa usada para calcular a AUC,FALSE,,23.299851793248944,23.299851793248944,73.6,25.20769191132688,5.058566911326877,0,1.4612945772027284,13.097763185654008
centro_sul_internacoes_i60_i69_ur_med,ok,Centro-Sul,internacoes_i60_i69,ur_med,0.5699322511929285,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.2389,0.1289664889507679,Menor p ponto-a-ponto da curva cumulativa usada para calcular a AUC,FALSE,,99.73697463768117,99.73697463768117,99,60.304566082567945,10.293424778220112,0,1.3696972436178552,89.6081358924968
centro_sul_obitos_i60_i69_temp_med,ok,Centro-Sul,obitos_i60_i69,temp_med,0.3439856702051674,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.1278,0.029156609968564774,Menor p ponto-a-ponto da curva cumulativa usada para calcular a AUC,FALSE,,24.32006065400844,24.32006065400844,80.6,28.62348907264432,8.474364072644317,0,1.7296837339636428,17.68870305907173
