modelo_id,macro_regiao,desfecho,exposicao,p_associacao,metodo_p,p_curva_auc,metodo_p_curva_auc,alerta_convergencia,avisos_modelo,cen,cen_mmt,cen_percentil_mmt,auc_rr_cumulativo,auc_excesso_rr_cumulativo,auc_protecao_rr_cumulativo,rr_cumulativo_max,exposicao_rr_max,p_associacao_fdr,p_curva_fdr,classe_fdr,estabilidade_lag,p_consistente_005,status_sem_pandemia,auc_excesso_rr_cumulativo_sem_pandemia,rr_cumulativo_max_sem_pandemia,p_curva_auc_sem_pandemia,alerta_convergencia_sem_pandemia,n_associado_estimado_total,p_residuo_ljung_box_21,desfecho_tipo,preservado_sem_pandemia,classe_evidencia_integrada,interpretacao_final
norte_internacoes_i60_i69_ur_med,Norte,internacoes_i60_i69,ur_med,5.158303542973777e-4,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.7956,9.49445645358128e-4,Menor p ponto-a-ponto da curva cumulativa usada para calcular a AUC,FALSE,,63.246111111111105,63.246111111111105,1,46.55051245907868,17.55065134796758,0,1.9065378462971885,84.90423523206749,0.00464247318867639,0.00945846807958425,fdr_significativo,Associacao estavel nos tras lags avaliados.,TRUE,ok,20.568318364394486,2.2581942534080617,6.910828649326511e-5,FALSE,451.3616713126937,0.04302032881150353,principal_i60_i69,TRUE,robusto,"Associacao estatistica consistente apos FDR, estavel em lags e preservada sem o periodo pandemico."
serrana_obitos_i60_i64_ur_med,Serrana,obitos_i60_i64,ur_med,0.00958584025538735,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.00271,0.01081013038536543,Menor p ponto-a-ponto da curva cumulativa usada para calcular a AUC,FALSE,,96.824375,96.824375,99,53.50610057061244,15.846586681723556,0,2.013193065900179,59.16486111111111,0.05065214135514757,0.03955489111464134,p_nominal,Associacao estavel nos tras lags avaliados.,TRUE,ok,18.57431377307194,2.3183704028740384,0.005079354542554423,FALSE,149.92791315265865,0.00682657359321137,sensibilidade_i60_i64,TRUE,robusto,"Associacao estatistica consistente apos FDR, estavel em lags e preservada sem o periodo pandemico."
medio_paraiba_internacoes_i60_i64_ur_med,Medio Paraiba,internacoes_i60_i64,ur_med,0.04208489143042775,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.003255,6.891371891713518e-5,Menor p ponto-a-ponto da curva cumulativa usada para calcular a AUC,FALSE,,53.714305555555555,53.714305555555555,1,52.811041707219104,15.390638929441335,0,1.9301946508689325,91.13470833333332,0.1527096223181711,0.00108539107294487,p_nominal,Associacao estavel nos tras lags avaliados.,TRUE,ok,19.889675773185775,2.108193899340108,1.1874555986436623e-5,FALSE,679.9456440799825,7.860580336638279e-7,sensibilidade_i60_i64,TRUE,robusto,"Associacao estatistica consistente apos FDR, estavel em lags e preservada sem o periodo pandemico."
norte_obitos_i60_i69_ur_med,Norte,obitos_i60_i69,ur_med,0.19309533576408505,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.05389,0.01026346060140475,Menor p ponto-a-ponto da curva cumulativa usada para calcular a AUC,FALSE,,92.2459722222222,92.2459722222222,99,43.30849239707614,14.308631285965031,0,1.7273404681227222,71.68910864978902,0.4605452202772561,0.03955489111464134,p_nominal,Associacao estavel nos tras lags avaliados.,TRUE,ok,22.636479078225463,2.047719389661193,0.00176472301065485,FALSE,142.66891945459776,1.4031336754449786e-4,principal_i60_i69,TRUE,robusto,"Associacao estatistica consistente apos FDR, estavel em lags e preservada sem o periodo pandemico."
centro_sul_obitos_i60_i69_temp_med,Centro-Sul,obitos_i60_i69,temp_med,0.22864010944816535,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.0844,0.00599343436432681,Menor p ponto-a-ponto da curva cumulativa usada para calcular a AUC,FALSE,,24.38558808016877,24.38558808016877,79.6,30.548293409052377,10.220960075719052,0,1.9281746463738345,7.917875,0.488282267635065,0.03108789256124572,p_nominal,Associacao estavel nos tras lags avaliados.,TRUE,ok,10.112273299206247,1.8587246702389224,0.014917016931979743,FALSE,148.36458996487355,3.1725355654432796e-5,principal_i60_i69,TRUE,robusto,"Associacao estatistica consistente apos FDR, estavel em lags e preservada sem o periodo pandemico."
metropolitana_ii_obitos_i60_i69_ur_med,Metropolitana II,obitos_i60_i69,ur_med,0.3448609526331832,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.3744,0.01452133986198989,Menor p ponto-a-ponto da curva cumulativa usada para calcular a AUC,FALSE,,97.54166666666669,97.54166666666669,99,48.17009820113286,9.25065375668841,0,1.365567385726786,80.79152601969058,0.5952394524901519,0.04051256907702289,p_nominal,Associacao estavel nos tras lags avaliados.,TRUE,ok,9.535181049905923,1.37073126983143,0.029102300854457575,FALSE,200.76920454007285,3.2248394315192996e-4,principal_i60_i69,TRUE,robusto,"Associacao estatistica consistente apos FDR, estavel em lags e preservada sem o periodo pandemico."
medio_paraiba_obitos_i60_i64_ur_med,Medio Paraiba,obitos_i60_i64,ur_med,0.0424193395328253,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.006833,0.00616823265104081,Menor p ponto-a-ponto da curva cumulativa usada para calcular a AUC,FALSE,,82.13486462728551,82.13486462728551,78.8,46.218443566334905,8.798040788557142,0,1.7185730669327064,53.714305555555555,0.1527096223181711,0.03108789256124572,p_nominal,Associacao estavel nos tras lags avaliados.,TRUE,ok,9.816238596946652,1.8695553283681543,0.012542291919147498,FALSE,185.1997835632308,4.808934850264457e-5,sensibilidade_i60_i64,TRUE,robusto,"Associacao estatistica consistente apos FDR, estavel em lags e preservada sem o periodo pandemico."
metropolitana_ii_internacoes_i60_i69_ur_med,Metropolitana II,internacoes_i60_i69,ur_med,0.03846568354774032,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.1679,0.0057449051244632,Menor p ponto-a-ponto da curva cumulativa usada para calcular a AUC,FALSE,,97.54166666666669,97.54166666666669,99,46.8943818216113,7.974937377166844,0,1.4914473342854984,58.62222222222222,0.1468689735459176,0.03108789256124572,p_nominal,Associacao estavel nos tras lags avaliados.,TRUE,ok,11.230368898032056,1.6462758819129966,0.004191300598110158,FALSE,712.9853882426238,2.774217160217418e-6,principal_i60_i69,TRUE,robusto,"Associacao estatistica consistente apos FDR, estavel em lags e preservada sem o periodo pandemico."
serrana_internacoes_i60_i69_ur_med,Serrana,internacoes_i60_i69,ur_med,1.4432899320127037e-15,Negative binomial likelihood-ratio test: modelo completo vs. modelo sem crossbasis | NW-HAC(lag=21): p=0.08943,0.00168753526444823,Menor p ponto-a-ponto da curva cumulativa usada para calcular a AUC,FALSE,,71.08242879746835,71.08242879746835,9.2,45.217392817271225,7.5578789283823475,0,1.592216898061861,59.16486111111111,3.6370906286720124e-14,0.0125076143129693,fdr_significativo,Associacao estavel nos tras lags avaliados.,TRUE,ok,10.632750017361401,1.7546130512955618,6.129708270916717e-4,FALSE,728.0764493911868,0.00518672229047911,principal_i60_i69,TRUE,robusto,"Associacao estatistica consistente apos FDR, estavel em lags e preservada sem o periodo pandemico."
noroeste_internacoes_i60_i69_temp_med,Noroeste,internacoes_i60_i69,temp_med,0.00203323376045826,Quasi-Poisson F test: modelo completo vs. modelo sem crossbasis + Wald global para coeficientes da crossbasis quando a comparacao reduzida nao foi estimavel | NW-HAC(lag=21): p=0.0237,0.00100333756275588,Menor p ponto-a-ponto da curva cumulativa usada para calcular a AUC,FALSE,,30.226749999999996,30.226749999999996,99,20.538829776831125,6.967496443497797,0,2.2577073873814375,19.232252109704643,0.01506985022457304,0.00945846807958425,fdr_significativo,Associacao estavel nos tras lags avaliados.,TRUE,ok,8.766467219909517,2.4783712023353415,8.101130638704411e-4,FALSE,266.10604097581046,5.487456643789024e-4,principal_i60_i69,TRUE,robusto,"Associacao estatistica consistente apos FDR, estavel em lags e preservada sem o periodo pandemico."
