modelo_id,macro_regiao,desfecho,exposicao,familia,dispersao,alerta_convergencia,avisos_modelo,df_exp,df_lag,lag_max,percentil,valor,rr_cumulativo,ic95_inf,ic95_sup,theta_hat,se_theta,rr_bayes,cri95_inf_bayes,cri95_sup_bayes,prob_rr_maior_1_10,prob_rr_menor_0_91,mu_grupo_bayes,tau_grupo_bayes,metodo_bayes,auc_excesso_rr_cumulativo,rr_cumulativo_max,exposicao_rr_max,alerta_convergencia_auc,avisos_modelo_auc,residuos_lag21_estatistica,residuos_diagnostico,ic95_dlnm,cri95_bayes,efeito_posterior_relevante,auc_alta,residuos_ok,categoria_bayes,ordem_curadoria
metropolitana_i_internacoes_i60_i69_ur_med,Metropolitana I,internacoes_i60_i69,ur_med,quasipoisson,18.712555358335255,FALSE,Binomial negativa rejeitada por instabilidade numerica; mantido Quasi-Poisson.,4,3,14,P05,56.467249305555555,1.206098700865369,0.6864917985119373,2.1189970213516474,0.18739093646973268,0.28753178199946544,1.1665117649306573,0.9850222537882266,1.381440563894295,0.804412350238945,0.003995852418111988,0.15396999915682982,0.06332990172027107,"Modelo hierarquico normal-normal por desfecho, exposicao e percentil; macrorregiao como nivel.",12.152275117826845,1.5901265997158498,77.49616016174402,FALSE,Binomial negativa rejeitada por instabilidade numerica; mantido Quasi-Poisson.,11.780244469636358,residuos_sem_autocorrelacao_estatisticamente_detectavel_ate_lag21,1.21 (0.69-2.12),1.17 (0.99-1.38),TRUE,TRUE,TRUE,principal_estabilizado,4
metropolitana_i_internacoes_i60_i69_temp_med,Metropolitana I,internacoes_i60_i69,temp_med,quasipoisson,18.725424728764455,FALSE,Binomial negativa rejeitada por instabilidade numerica; mantido Quasi-Poisson.,4,3,14,P05,17.971012650417215,1.1301024053137476,0.8462834471107425,1.5091060221680024,0.12230825278958511,0.1475584177542448,1.2060213267879236,0.9693103846755096,1.5005383865295263,0.8050202427259644,0.008301566383074045,0.2671652622541142,0.1628740247066152,"Modelo hierarquico normal-normal por desfecho, exposicao e percentil; macrorregiao como nivel.",1.5750662323268665,1.402357525039987,29.540993538647346,FALSE,Binomial negativa rejeitada por instabilidade numerica; mantido Quasi-Poisson.,9.88567847138247,residuos_sem_autocorrelacao_estatisticamente_detectavel_ate_lag21,1.13 (0.85-1.51),1.21 (0.97-1.50),TRUE,FALSE,TRUE,principal_estabilizado_com_dependencia_de_sensibilidade,3
norte_internacoes_i60_i69_ur_med,Norte,internacoes_i60_i69,ur_med,quasipoisson,2.186526024163732,FALSE,,4,3,14,P05,64.69610416666666,1.1646193495784645,1.032061289709038,1.314203180505829,0.1523942950677327,0.06165227599692168,1.1557207849931908,1.0535059470985633,1.2678528645650955,0.8681896455432656,1.0510012234590837e-6,0.15396999915682982,0.06332990172027107,"Modelo hierarquico normal-normal por desfecho, exposicao e percentil; macrorregiao como nivel.",17.55065134796758,1.9065378462971885,84.90423523206749,FALSE,,33.29752904207301,residuos_com_autocorrelacao_estatisticamente_detectavel_ate_lag21,1.16 (1.03-1.31),1.16 (1.05-1.27),TRUE,TRUE,FALSE,principal_estabilizado_com_dependencia_de_sensibilidade,3
centro_sul_internacoes_i60_i69_ur_med,Centro-Sul,internacoes_i60_i69,ur_med,quasipoisson,1.4647109610189148,FALSE,,4,3,14,P05,53.851671113306985,1.3835783067317056,0.8976872695837707,2.132467503684406,0.32467311909969776,0.22072173059286995,1.1825044276258725,0.9950184652719873,1.40531735858044,0.8457890848132115,0.0010895536207807825,0.15396999915682982,0.06332990172027107,"Modelo hierarquico normal-normal por desfecho, exposicao e percentil; macrorregiao como nivel.",10.482086769220762,1.4261933964332,51.445151515151515,FALSE,,53.097413375912,residuos_com_autocorrelacao_estatisticamente_detectavel_ate_lag21,1.38 (0.90-2.13),1.18 (1.00-1.41),TRUE,TRUE,FALSE,principal_estabilizado_com_dependencia_de_sensibilidade,3
metropolitana_i_obitos_i60_i69_temp_med,Metropolitana I,obitos_i60_i69,temp_med,quasipoisson,1.045562573328566,FALSE,,4,3,14,P05,17.971012650417215,1.2484357034186773,1.1484711888067245,1.3571012671113527,0.22189133034763361,0.04258224850350285,1.2727528543619357,1.1843282416534233,1.3677794477187644,0.9999238273629552,1.585981065080675e-16,0.2522988100961757,0.03154889521814746,"Modelo hierarquico normal-normal por desfecho, exposicao e percentil; macrorregiao como nivel.",1.347755633568026,1.2927537389698038,29.540993538647346,FALSE,,48.62749185051337,residuos_com_autocorrelacao_estatisticamente_detectavel_ate_lag21,1.25 (1.15-1.36),1.27 (1.18-1.37),TRUE,FALSE,FALSE,principal_estabilizado_com_dependencia_de_sensibilidade,3
norte_obitos_i60_i69_temp_med,Norte,obitos_i60_i69,temp_med,quasipoisson,0.9852453555450292,FALSE,,4,3,14,P05,19.022707638888892,1.351103220288982,1.0478326892780516,1.7421482747718042,0.30092145893810573,0.12969500226780709,1.2904408701009507,1.1625141484969181,1.4324450514258091,0.9974625112947607,3.6799835754024785e-6,0.2522988100961757,0.03154889521814746,"Modelo hierarquico normal-normal por desfecho, exposicao e percentil; macrorregiao como nivel.",2.2048056094756032,1.4047302126290038,20.17209423347398,FALSE,,50.55614303775114,residuos_com_autocorrelacao_estatisticamente_detectavel_ate_lag21,1.35 (1.05-1.74),1.29 (1.16-1.43),TRUE,FALSE,FALSE,principal_estabilizado_com_dependencia_de_sensibilidade,3
baixada_litoranea_obitos_i60_i69_temp_med,Baixada Litoranea,obitos_i60_i69,temp_med,quasipoisson,1.0419370401818926,FALSE,,4,3,14,P05,18.903922735507248,1.4122802531093592,1.04801925242163,1.903147779693852,0.3452055989157988,0.15219853268087633,1.293223401346204,1.1587739393237675,1.4432726772966893,0.9973973346500833,6.730392772148944e-6,0.2522988100961757,0.03154889521814746,"Modelo hierarquico normal-normal por desfecho, exposicao e percentil; macrorregiao como nivel.",1.2840578596263224,1.4616644996164403,18.42945923913043,FALSE,,56.32505163923628,residuos_com_autocorrelacao_estatisticamente_detectavel_ate_lag21,1.41 (1.05-1.90),1.29 (1.16-1.44),TRUE,FALSE,FALSE,principal_estabilizado_com_dependencia_de_sensibilidade,3
medio_paraiba_obitos_i60_i69_temp_med,Medio Paraiba,obitos_i60_i69,temp_med,quasipoisson,0.9853589614171916,FALSE,,4,3,14,P05,15.312019791666666,1.3321540600748112,1.007373473348604,1.7616449973362436,0.2867972261468376,0.14257956072891625,1.2887066371708291,1.1595210024771556,1.4322852222082683,0.9964277696026568,1.1217596053553729e-5,0.2522988100961757,0.03154889521814746,"Modelo hierarquico normal-normal por desfecho, exposicao e percentil; macrorregiao como nivel.",1.799832282719383,1.392623042250552,14.664125,FALSE,,74.63119013398045,residuos_com_autocorrelacao_estatisticamente_detectavel_ate_lag21,1.33 (1.01-1.76),1.29 (1.16-1.43),TRUE,FALSE,FALSE,principal_estabilizado_com_dependencia_de_sensibilidade,3
centro_sul_obitos_i60_i69_temp_med,Centro-Sul,obitos_i60_i69,temp_med,quasipoisson,1.0088431564074682,FALSE,,4,3,14,P05,8.915106250000001,1.794939602572777,1.005489277364112,3.2042193282558737,0.5849713737823816,0.2956672225426835,1.2954841380385111,1.1453398609694403,1.4653110479267286,0.9958870495907068,5.564947499247569e-5,0.2522988100961757,0.03154889521814746,"Modelo hierarquico normal-normal por desfecho, exposicao e percentil; macrorregiao como nivel.",9.061872831949056,1.864373930731188,7.917875,FALSE,,56.53687393258475,residuos_com_autocorrelacao_estatisticamente_detectavel_ate_lag21,1.79 (1.01-3.20),1.30 (1.15-1.47),TRUE,FALSE,FALSE,principal_estabilizado_com_dependencia_de_sensibilidade,3
serrana_obitos_i60_i69_temp_med,Serrana,obitos_i60_i69,temp_med,quasipoisson,1.0222944678789712,FALSE,,4,3,14,P05,10.864852916666663,1.3624452965054326,0.9532901872287166,1.9472110495189816,0.30928109739544424,0.18220590950882934,1.2894721009517103,1.1541275112877691,1.440688557261358,0.995348564432531,3.8767245284148566e-5,0.2522988100961757,0.03154889521814746,"Modelo hierarquico normal-normal por desfecho, exposicao e percentil; macrorregiao como nivel.",1.757424859058941,1.4850081020161316,10.178999999999998,FALSE,,50.57167639451572,residuos_com_autocorrelacao_estatisticamente_detectavel_ate_lag21,1.36 (0.95-1.95),1.29 (1.15-1.44),TRUE,FALSE,FALSE,principal_estabilizado_com_dependencia_de_sensibilidade,3
